Equipment,Failure Scenario,Failure Classification,ATS Alarm Description,FSCADA Alarm Description,HMI Alarm,Guidelines for the Chief Controller,Local Response
Train Doors,Train doors opening while in motion,Major,Door emergency released operated / Unscheduled Vehicle Door Opening,None,Door emergency released operated,"• Train Entering service: Not allowed to enter service.
•Train already in service: Activate the door Loop Bypass switch before withdrawing if the doors cannot be closed",Disembark passenger and immediate removal if door loop bypass switch activated.
Train Doors,Train Doors Obstacle Detection,Minor,Train door failed to close,None,Door has detected an obstruction,"• Train Entering service: Not allowed to enter service.
•Train already in service: Remove the obstacle before continuing Train service",Cycle door
Auxiliary Driving Console,Auxiliary Driving Console Cover Unlock Detected,Minor,Driving Console Cover Unlock,None,Driving Console Cover Unlock,"• Train Entering service: Not allowed to enter service.
•Train already in service: Re-lock the cover by qualified Train driver and remain in services",Verify and re-lock the driving console
Train Coupler,Semi-permanent Coupler Failure,Major,Loss of Coupler Status,None,Not Available,"• Train Entering service: Not allowed to enter service.
• Train already in service: Immediate Train Withdrawal from service",Disembark passenger
Train Coupler,Automatic Coupler Failure,Minor,Loss of Coupler Status,None,Not Availabe,"• Train Entering service: Not allowed to enter service.
•Train already in service: Exit at Terminus station",Field staff (RSD/TO) verification required to confirm condition at site.
Axle,Locked Axle,Major,Blocked Axle,None,Blocked Axle,"• Train Entering service: Not allowed to enter service.
•Train already in service: Immediate Train Withdrawal from service.",Disembark passenger
Lightning,Failure of Head Lights,Minor,Headlight and Taillight in car (M1 or M2) Major fault,None,None,"• Train Entering service: Not allowed to enter service.
•Train already in service: Removal at Fleet reduction.","Note: If more than 50% of the head lights fail, tunnel lighting should be turned on when the train is driven manually"
Lightning,Failure of Tail Lights/Marker Light,Minor,Headlight and Taillight in car (M1 or M2) Major fault,None,None,"• Train Entering service: Not allowed to enter service.
•Train already in service: Removal at Fleet reduction.",None
Lightning,Failure of 50% or more of Interior lighting in 1 Car,Minor,Compartment light major fault,None,None,"• Train Entering service: Not allowed to enter service.
•Train already in service: Exit at Terminus station",None
Lightning,Failure of more than 50% of interior lighting in 1 Car (to be removed ),Minor,Compartment light major fault,None,None,"• Train Entering service: Not allowed to enter service.
•Train already in service: Exit at Terminus Station.",None
Lightning,Total Failure of Interior Lighting in at least 1 Car (to be removed),Minor,Compartment light major fault,None,None,"• Train Entering service: Not allowed to enter service.
•Train already in service: Exit at Terminus Station.",None
Pneumatic System,Failure of 1 Air Compressor (Air Supply System),Major,None,None,Compressor Control Major Fault Symbol: Yellow & Red symbol (minor/major),"•Train Entering service: Not allowed to enter service.
•Train already in service: Exit at Terminus Station If MRE below 8 bar, Immediate train withdrawal from service.","Field staff to check MRE Pressure level and monitor the pressure level. TO remain on board until train exit from mainline

 8.5 – 10.5 bar (Operating condition for MRE Pressure) "
Pneumatic System,Failure of 2 Air Compressors (Air Supply System),Major,Failure of both compressor modules,None,Compressor Control Major Fault,"•Train Entering service: Not allowed to enter service
• Train already in service: Immediate Train Withdrawal from service.","Restart Train if required, field staff to be onboard during removal. Rescue train might be required"
Pneumatic System,Failure of Main Air Reservoir and Hoses Pipes,Major,Failure / Degradation of Air Supply System,Main air system pressure below 6 bar,Main air system pressure below 6 bar,"• Train Entering service: Not allowed to enter service
•Train already in service: Immediate Train Withdrawal from service.","Restart Train if required, field staff to be onboard during removal."
Air Conditioning Unit,Failure of One Air Conditioning Unit per car (Peak/Off Peak),Minor,None,None,VAC Cooling Major Fault,"• Train Entering service: Not allowed to enter service
•Train already in service: Removal at Fleet reduction.","Require field staff to reset, if not successful train removal at fleet reduction"
Air Conditioning Unit,Failure of Two Air Conditioning Units per car (Peak/Off Peak),Major,None,VAC Cooling Major Fault,VAC Cooling Major Fault,"• Train Entering service: Not allowed to enter service.
•Train already in service: Removal at End of Single Trip","Field staff to check car temperature and reset if require, if not successful train removal at End Single Trip"
Air Conditioning Unit,Failure of Both Air Conditioning Units in 3 out of 4 Car.,Major,None,None,VAC Cooling Major Fault,"• Train Entering service: Not allowed to enter service.
•Train already in service: Immediate Train Withdrawal from the service.","Field staff to check car temperature and reset if require, if not successful Immediate train withdrawal from the service."
"Fire/Smoke Sensor, Heat Detector",Loss of Fire/Smoke Sensor Control Unit,Major,Smoke detection system major fault,Smoke Detection System Major Fault,Smoke Detection System Major Fault,"• Train Entering service: Not allowed to enter service
•Train already in service: remain in service until the End of round Trip only if qualified Train driver is deployed on board",Field staff reset of smoke detection system
"Fire/Smoke Sensor, Heat Detector",Failure of Fire/Smoke Sensor,Major,Fire Alarm Activated,Fire Alarm,Fire Alarm,"• Train Entering service: Not allowed to enter service.
•Train already in service remain in service until the End of round Trip only if qualified Train driver is deployed on board. 
•Note: VATO holds the Train in the next Station. OCC can verify via CCTV and may release the train.","Field staff to check and verify the alarm, reset fire alarm if require."
"Fire/Smoke Sensor, Heat Detector",Failure of Linear Heat Detectors,Major,None,None,Underframe Fire Alarm,"• Train Entering service: Not allowed to enter service.
•Train already in service Exit at Terminus station","Field staff to check and verify the alarm, reset fire alarm if require."
Radio,"Failure of 1 Main Radio Channel from Train to OCC or 1TRIU, failure of OCC/BCC pre recorded PA or Live PA",Minor,None,None,Radio Major Fault,"• Train Entering service: Not allowed to enter service.
•Train already in service: Removal at Fleet reduction.",Deploy qualified train driver to handle PA where required / Deploy TO to reset TRIU 
Radio,Failure of Both Main Radio Channel from Train to OCC or total TRIU failure,Major,Failure of both mobile radio systems,None,Radio Major Fault,"• Train Entering service: Not allowed to enter service.
•Train already in service: Exit at Terminus station",Deploy TO to reset TRIU
Radio,Failure of Cab-to-Cab Communications ,Minor,None,None,None,"• Train Entering service: allowed to enter service.
•Train already in service: remain in service.",Qualified train driver to use portable radios for communication where required
Radio,Failure of 1 Passenger Emergency Communication Unit or Partial Failure in 1 Car,Minor,None,None,Symbol detected (bell shaped),"• Train Entering service: allowed to enter service.
•Train already in service: remain in service.",Deploy TO to reset PEC breaker
Radio,Total Failure of Passenger Emergency Communication for all car,Major,None,None,Symbol detected (bell shaped),"• Train Entering service: Not allowed to enter service.
•Train already in service: Exit at Terminus Station.",Deploy qualified train driver until end of round trip/ Deploy TO to reset PEC breaker
Radio,Failure of 1 Train-borne Radio,Minor,None,None,None,"• Train Entering service: Not allowed to enter service.
•Train already in service: Exit at Terminus Station.",None
Radio,Failure of Both Train-borne Radios,Major,None,None,None,"• Train Entering service: Not allowed to enter service.
•Train already in service: Exit at Terminus Station.",None
IPIS,"Failure of IPIS Onboard Train, including failure of 1 or more LED display panels, DRMD/LCD panels or total IPIS failure ",Minor,None,None,PIS Major Fault,"• Train Entering service: Not allowed to enter service.
•Train already in service: Exit at Terminus station or Fleet reduction.  Use PA to provide the information to passengers","Field staff to check and verify alarm, reset ACSU, PACU & SS if require."
CCTV,Failure of 1 CCTV Camera or CCTV in 1 Car,Minor,None,None,CCTV Minor Fault,"• Train Entering service: allowed to enter service.
•Train already in service: remain in service.",None
CCTV,Total CCTV Failure or Failure of FFC or RVC,Minor,None,None,CCTV Minor Fault,"• Train Entering service: Not allowed to enter service.
•Train already in service: Removal at Fleet reduction.",None
CCTV,Failure of Access Point Controller or Network Video Recorder,Minor,NVR Failure,None,NVR Failure,"• Train Entering service: Not allowed to enter service.
• Train already in service: remain in service.",None
Train Horn,Train Horn failure,Minor,None,None,Horn Major Fault,"• Train Entering service: allowed to enter service.
•Train already in service: remain in service.",None
Event Recorder,Failure of both Event Recorders,Minor,None,None,Data Recorder Major Fault,"• Train Entering service: Not allowed to enter service.
•Train already in service: Removal at Fleet Reduction",None
Obstacle Detection,Obstacle detection,Major,Obstacle detection (M1 or M2),None,Obstacle detection,"• Train Entering service: Not allowed to enter service.
•Train already in service: Immediate Removal","Deploy qualified train driver to verify the condition at site. If it is false detection, manually activate obstacle detection bypass, immediate removal ."
Abnormal Noise & Vibration Generated,Noise & Vibration level acceptable,Minor,None,None,None,"• Train  Entering  service:  Not   allowed  to  enter service.
•Train   already   in   service:   Removal   at   Exit Terminus station","If  the  noise  level  is  acceptable,  continue service until the end of mission and schedule for maintenance."
Abnormal Noise & Vibration Generated,Noise & Vibration level not acceptable,Major,None,None,None,"• Train Entering service: Not allowed to enter service
•Train already in service:  Exit at Terminus station","Require  field  staff  to  on  board  train  during removal at terminus station
Qualified train driver to report and clarify the condition,  subject  to  condition  to  remove train.  If  the  vibration  level  is  acceptable, continue service until the end of mission and schedule for maintenance. If qualified train driver  or  passengers  report  the  vibration level     is     unacceptable     and     causing discomfort or disturbance, withdraw the train from service immediately"
Rollback Detection,First Time,Minor,Rollback detected,None,None,"•Train Entering service: Not allowed to enter service.
• Train already in service:  if rollback is detected for the first time, continue with normal service and OCC monitors Train for further rollback event",None
Rollback Detection,More than once (More than 3),Major,Rollback detected,None,None,"• Train Entering service:(Not) allowed to enter service.
• Train already in service:Immediate Train Withdrawal from the service.
• Note: if rollback detection is repetitive for the same Train, withdraw the Train from service","Field staff require to onboard train for 
contingency."
Failure of Train Wake Up,Failure of Train Wake Up,Minor,None,None,None,"• Train Entering service: Not allowed to enter service.
•Train already in service:  N/A",Maintenance staff to check and verify the situation. 
Failure of Train Wake Up,Train sleep at mainline and able to wake up,Minor,None,None,None,"• Train Entering service:  N/A
•Train already in service: Wake remotely or manual intervention Exit during Fleet Reduction",Maintenance staff to check and verify the situation. 
Failure of Train Wake Up,Train sleep at mainline more than 2 times and able to wake up,Minor,None,None,None,"• Train Entering service: N/A
• Train already in service:  Wake remotely or manual intervention Exit during Fleet Reduction",Maintenance staff to check and verify the situation. 
Failure of Train Wake Up,Train sleep at mainline and failed to wake up after manual intervention ,Major,None,None,None,"• Train Entering service: N/A
•Train already in service:  Wake remotely or manual intervention and Immediate Removal from service and Train Rescue required.","Qualify train driver staff need to drive in CM, 
if not possible drive RM, if not possible drive 
in Cut Out mode. Rescue require (couple by Loco/ET) "
Excessive Wheel Slip/Slide,If noise is unacceptable as reported by station staff or passengers,Minor,Excessive wheel slip/slide,None,Excessive wheel slip/slide,"• Train Entering service: Not allowed to enter service.
•Train already in service: Exit at Terminus Station.","Note: 
i. Monitor whether the train experiences slip/slide at the same section of the track. If yes, schedule maintenance staff to assess adhesion condition of track.
 ii. If it is decided the train is experiencing slip/slide issues, schedule the train for maintenance
 iii. If noise/vibration level is unacceptable, disembark passengers and withdraw the train from service at the next station"
